world_rank,university_name,country,continent,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,female
1,California Institute of Technology,United States of America,North_America,95.6,64.0,97.6,99.8,97.8,95.1,2243.0,6.9,27.0,33 : 67,33.0
2,University of Oxford,United Kingdom,Europe,86.5,94.4,98.9,98.8,73.1,94.2,19919.0,11.6,34.0,46 : 54,46.0
3,Stanford University,United States of America,North_America,92.5,76.3,96.2,99.9,63.3,93.9,15596.0,7.8,22.0,42 : 58,42.0
4,University of Cambridge,United Kingdom,Europe,88.2,91.5,96.7,97.0,55.0,92.8,18812.0,11.8,34.0,46 : 54,46.0
5,Massachusetts Institute of Technology,United States of America,North_America,89.4,84.0,88.6,99.7,95.4,92.0,11074.0,9.0,33.0,37 : 63,37.0
6,Harvard University,United States of America,North_America,83.6,77.2,99.0,99.8,45.2,91.6,20152.0,8.9,25.0,,
7,Princeton University,United States of America,North_America,85.1,78.5,91.9,99.3,52.1,90.1,7929.0,8.4,27.0,45 : 55,45.0
8,Imperial College London,United Kingdom,Europe,83.3,96.0,88.5,96.7,53.7,89.1,15060.0,11.7,51.0,37 : 63,37.0
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,Europe,77.0,97.9,95.0,91.1,80.0,88.3,18178.0,14.7,37.0,31 : 69,31.0
10,University of Chicago,United States of America,North_America,85.7,65.0,88.9,99.2,36.6,87.9,14221.0,6.9,21.0,42 : 58,42.0
11,Johns Hopkins University,United States of America,North_America,77.6,70.0,90.4,98.2,100.0,87.6,15128.0,3.6,23.0,50 : 50,50.0
12,Yale University,United States of America,North_America,86.5,64.3,87.8,97.2,43.3,87.4,11751.0,4.4,20.0,50 : 50,50.0
13,"University of California, Berkeley",United States of America,North_America,80.4,61.9,91.1,99.7,47.9,87.2,36186.0,16.4,15.0,50 : 50,50.0
14,University College London,United Kingdom,Europe,78.1,94.4,91.0,94.2,40.5,87.1,26607.0,10.7,46.0,56 : 44,56.0
15,Columbia University,United States of America,North_America,85.9,73.5,82.2,98.1,,,25055.0,5.9,28.0,,
16,"University of California, Los Angeles",United States of America,North_America,80.8,56.4,88.6,98.5,47.9,85.8,38206.0,10.3,15.0,52 : 48,52.0
17,University of Pennsylvania,United States of America,North_America,82.0,49.5,86.9,98.6,47.9,85.2,20376.0,6.5,20.0,51 : 49,51.0
